F1,F2,class
-0.9234602122074027,0.3785196051989577,0
-0.6833485276160958,-0.4303028751443814,1
-0.41530768168228893,-0.6773025423860644,1
-0.8083284179306112,-5.1669955081302954e-05,1
0.5507825036875537,0.8231451094038947,0
0.7096534256693633,-0.4294245515687579,1
-0.7297900322717383,-0.2914592984434805,1
-0.7572816556163194,-0.33469424972224754,1
-0.426630918413519,0.8617862189988182,0
0.7945434537470768,-0.25038075421819284,1
-0.1916751071154387,0.975561555751513,0
0.8823906004393197,-0.41188791452897977,0
0.44295182127360183,0.663036992433975,1
-0.8379225002943049,-0.017196466680414395,1
-0.17518617661088873,-0.7444470598500805,1
0.17498337037174555,-0.7772076912317981,1
0.6991007384540162,-0.6573404219017109,0
0.08434909294570615,-0.80281696833535,1
-0.20104755319345127,0.9921142453983386,0
0.3556119745680172,-0.758407969331079,1
0.7788787953804891,-0.11805883689145338,1
0.19321443591971518,-0.9814400132743302,0
-0.671686525323856,0.7208339791958939,0
-0.12790475990646696,-0.7280732142391932,1
-0.5308872048270549,0.8259369945077925,0
-0.8273340151086784,0.6035260801666718,0
0.7333419449441416,0.2812774882682883,1
-0.8426556224018833,-0.5435999104008653,0
-0.9630775373632711,0.2964455881711958,0
0.5670376649036074,-0.845381502000233,0
-0.22211254320667365,0.8105845635369037,1
0.5219107832863112,0.5930221998525688,1
-0.7418927094865063,-0.33114150151419147,1
-0.8307738625582197,0.5339760211019356,0
-0.7990452807333653,-0.16134201178868646,1
-0.42980580139350144,0.9298048608567495,0
0.6369033916801277,0.7666834961171816,0
-0.6249510664109124,-0.791330139827553,0
-0.7737024931859595,-0.7230103303305456,0
0.41450806927164335,-0.9037877361929861,0
-0.30866012441916635,0.7145781144854102,1
0.5503365171947932,-0.5897878297735296,1
-0.30150013236466816,0.7531796807679916,1
-0.8537352211146036,0.5659674819725494,0
-0.25156960109681986,-0.7319311740396603,1
-0.6956827485447293,-0.3287259794766648,1
0.3462638113562413,0.7582881324001707,1
-0.7358271844550299,0.3659827077758499,1
-0.6110336973276437,-0.5487018593513355,1
0.3964262066487736,0.7003379650967556,1
-0.6476821079717353,-0.7672484035018503,0
-0.07900497826903459,1.0144120512193233,0
-0.9359628197165075,0.32494643165293374,0
0.7533990854384045,-0.2541465037390794,1
-0.13111927345013716,0.7998527623310291,1
0.4609213570475065,0.8489227142934385,0
0.7741248664169841,-0.36270916848729806,1
-0.1638142861446967,0.7660953585105056,1
-0.7447702421083627,0.17560658147107516,1
-0.6648686536646982,0.38192118273971853,1
-0.4270373820688604,-0.8725907690858029,0
-0.23240709659409867,-0.9467149176945361,0
-0.6588764270080283,-0.7720503985280671,0
0.6916290280797783,-0.16659306579429706,1
0.8694411827316835,0.42849189960907225,0
-0.30726629158556706,-0.9929456501822853,0
0.08453525225248842,0.7831492047888405,1
-0.2015008419469565,-0.9788650038585369,0
0.8096807681357562,-0.04868982686202196,1
-0.9169615652893349,-0.2904674651154481,0
0.6027616923804527,0.5628128784998092,1
0.9638690758144154,-0.17758442862796867,0
0.14530449239442791,-1.045584594366603,0
0.6751594412980267,-0.2926548428516497,1
0.9813601361546648,0.2525658940357519,0
-0.5189379195829799,-0.8114249837713838,0
0.2929443861378559,-0.969855064801198,0
-0.7268867097331584,0.1337937024153171,1
-0.005300794029860684,0.9830683020563197,0
-0.7698246565393431,-0.24260218711168544,1
-0.376270639281778,-0.699498878878369,1
-1.0845135004993045,0.14340794913440477,0
0.7574789686627714,0.7014371449697671,0
-0.667633217460584,-0.4889633035472533,1
1.0333377082416693,-0.049307522025741804,0
0.9805867010025664,0.13934927546126613,0
-0.866460423960669,-0.49749960488772693,0
0.5693434587726778,0.822672808628515,0
0.9636979346333308,0.10052361101352329,0
-0.6313883981585643,0.7089781177301065,0
0.4920000954128791,-0.6730573133518535,1
0.781583724609194,0.1322987493984086,1
-1.0488903519669173,0.03404590126043355,0
0.30449848621607245,-0.7010483894186762,1
-0.9724047280871936,-0.3015107743484929,0
0.4406640309488864,-0.7024669047147124,1
-0.4194120543206223,0.7071815046720659,1
0.2514384100816057,-0.7671451710667758,1
-0.3126321936954137,0.9336917428194996,0
0.12958245064867888,-0.8030378072708905,1
0.6908633637419295,0.38016756014013464,1
0.5049647112553867,0.6957711975824503,1
0.5981119482244649,0.5012163463439709,1
0.37103066648120137,0.9329957601060463,0
-0.7052117823021196,-0.4523206423934877,1
-0.748017917355784,-0.10414661374315001,1
0.8024044286916872,0.6576523009872052,0
-0.4951589738865117,-0.8362121671841427,0
0.20903224837159365,-0.8007564792804758,1
-0.8309589539316949,-0.5147981770945821,0
-0.4360585546309728,-0.632132023428895,1
0.5159261248472087,0.892640498767087,0
-0.337297603759473,0.9305024645268638,0
-0.6705955819937909,0.49258218442920626,1
-0.556089750697081,0.7445983091808199,0
-0.9456776530306756,-0.1589225594992123,0
0.5996391852428883,0.4988823089453385,1
-0.9458331662244059,0.02468165807795592,0
-0.08081065488074102,1.0284673145803496,0
0.7567806374006187,-0.6021664244198633,0
-0.5197721404003446,0.8301033531926278,0
-0.2894628917303377,-0.7483263468283071,1
-0.7998409786212837,0.12928746768023672,1
0.6958558049259286,-0.4272973072721421,1
0.7580987407805527,0.16448191040986754,1
-0.024200737381266404,-0.8235017172395274,1
0.20457949062033126,0.7544466662710176,1
0.1269685555428518,0.8078653000486007,1
0.7984337153727208,0.06416936689189368,1
0.7596530044246581,-0.42862194422170946,1
0.06625466890753923,-0.7475915330396798,1
